[-01] 18448.351696:          1                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.351704:          1                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.351709:          1                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.351720:         15                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.351734:        426                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.351876:       5278                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.353082:      51697                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.354953:      80548                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.356786:      78818                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.358416:      70320                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.359942:      66324                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.361448:      63113                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.362799:      58223                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.364094:      55774                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.365357:      53960                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.366543:      51191                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.367705:      49853                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.368853:      48873                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.369956:      47380                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.371039:      46612                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.372105:      46065                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.373186:      45620                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.374233:      44956                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01] 18448.375256:      44533                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
