[-01]  9164.728621:          1                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.728635:          1                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.728639:          1                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.728646:         10                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.728665:        300                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.728816:       5454                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.730082:      40119                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.732889:      68536                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.735663:      66745                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.737913:      61378                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.740034:      56476                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.742077:      52557                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.744027:      49089                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.745922:      45960                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.747737:      43165                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.749095:      40621                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.750806:      38346                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.752075:      37085                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.753705:      35163                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.754913:      34235                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.756084:      32586                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.757641:      31888                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.758779:      31311                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.759885:      29916                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.760977:      29466                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.762080:      29116                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.763145:      28815                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.764616:      28482                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
[-01]  9164.765692:      28270                0         5080021 N/A|SNP N/A|TLB N/A|LCK N/A 
